clean_text,sentiment_label
kualitas bagus sesuai harga warna hitam dipakai pas di tangan packing aman bonus kantong biar mudah tidak mencolok saat dibawa,positive
super enak rasanya selalu konsisten paling suka untuk toping atau tambahan buat omelet 😍👍🏻,positive
ok barangnya warnanya sesuai yang aku mau respon ok thank you,positive
barang sesuai pesanan kualitas istimewa dikirim pakai gosend hari ini sampai terimakasih next order lagi,positive
bola bagus soft dan tidak sakit di tangan cocok untuk anak latihan👍👍👍👍👍,positive
cepat pesanan nya terima kasih,positive
pelayanan baik pengiriman cepat mantap beli di toko ini jadi langganan trim,positive
bahan nya lumayan bagus hanya saja saya pakai agak kebesaran saya ld harus nya tapi saya pilih xl karena kaos nya model cewek tapi tetap sukaaaaa,positive
sangat membantu dan dapat dijadikan pengharum kendaraan,positive
lumayan tajam berpungsi degan baik barang sesuai poto,positive
baru terima dan berfungsi baik,positive
suhu dalam sb sangat baik selang beberapa menit langsung memerangkap panas ruang di kaki cukup lega cocok untuk saya yang tinggi cuma bahan nyaman dan lembut minusnya tali resleting relatif kecil dibanding sb merk lain jadi sering tersangkut overall dengan harga segitu worth itu lah,positive
sesuai deskripsi barangnya oke bisa dipakai buat pasang hotfix stonenya,positive
produk original kuat barang sesuai deskripsi pengiriman cepat reapon cepat terima kasih,positive
paket cepat sampai packaging sangat aman langganan banget karena kualitas produknya bagus,positive
sudah beli di toko ini respon seller cepat recommended seller,positive
packing dan response seller baik barang orisinal jadi enggak perku jastip,positive
daging berkualitas baik recommended terimakasih,positive
sesuai deskripsi pengiriman sesuai estimasi packing aman,positive
enggak sampai menit ludes enaknya ancaman,positive
fast response seller merk xundd murah dan berkwalitas sudah tahunan memakai merk ini thanks juragan,positive
good price recommended seller thankssss,positive
packing rapi barang aman,positive
barang yang datang tidak sesuai,negative
good 👍,positive
pesan ini karena kehabisan buah untuk smoothies yang biasa saya kasih ke balita saya biasanya saya beli buah sendiri dan saya prep sesuai ukuran dan masukkan freezer sendiri kali ini kehabisan dan saya coba cari frozen fruits niat hati agar gampang daripada saya harus ngupas pisang mangga dan alpukat lagi sementara sudah habis banget biasanya smoothies ini saya campur susu bubuk formula yang rasanya memang sudah manis ditambah pisang dan mangga yang biasa nya juga manis jadi anak suka dan selalu habis kali ini sampai di bagi botol tetap enggak mau habis tiap botolnya saya coba dan ternyata rasanya hambar tapi asam padahal sudah pakai sufor tetap enggak nutup rasa hambar tapi asam ini sedih sih mana masih banyak harapan saya bisa membantu malah jadi,neutral
barang berfungsi dengan baik terima kasih,positive
pengiriman cepat packing aman barangnya bagus semoga awet thankyou,positive
packing aman 👍 mantap bos sudah saya terima dengan baik siap bertarung 😁,positive
pengiriman cepat respon cepat tanggap tanpa ragu kualitas produk jangan diragukan sudah lebih dari tahun saya menggunakan produk ini,positive
🌟。❤。😉。🍀 。✨ 。🎉。🌟 ✨。＼｜／。💫 happy new year 🌟。／｜＼。🍻 。🍀。 🍸。🎉。 🌟。 💫。 🎶 💥,positive
sesuai pesanan pengiriman cepat packing rapi aman,positive
produk mantap walopun seller agak kurang gercep proses pesanan kita,positive
barang sampai dengan cepat dan packing rapi sekali,positive
cuman bayar ongkir ribu dapat barang sebanyak ini isi pesanan sesuai dengan gambar,positive
datang sesuai dan kodenya diterima langsung terima kasih verin games untuk service nya,positive
terima kasih gan barang saya nilai bagus untuk harga segini karena sebelumnya saya sudah punya merk swans tahun lalu beli sama nyamannya saat dipakai,positive
sudah kesekian kali order frozen fruits yang ready dibuat smoothies disini kualitas buah bagus amp pengirimannya cepat,positive
hari sampai pengiriman super duper kuenceng packing cukup aman,positive
terimakasih atas pelayanannya yang super cepat beli kemarin sekarang sudah sampai hehe,positive
bahannya nyaman ukuran nya bagus dan dipakainya nyaman tidak tipis bahannya sehingga tidak menerawang saya suka,positive
sudah langganan sama etamilku memang sebagus begitu buat pernafasan,positive
favorit keluarga dan kucing saya makan mi instant yang bijak ya agar kita tetap sehat dan bahagia produknya official storenya kurirnya semua mamtaaabs recommended terima kasih,positive
barang sudah expired penjual tempel sticker memutarbalikkan fakta sebagai tanggal produksi mana ada tanggal produksi di product yang ada tanggal expired,negative
kondisi baik dan kuku² sudah dibersihkan,positive
berkualitas kokoh anak saya suka sekali warna nya juga cocok sekali kuat dan mudah di pasang,positive
terkirim baik sama sedap dengan yang original flavour cocok untuk yang enggak suka empal yang dominan rasa manis empuk dan sedap,positive
produk sesuai dengan deskripsi pengiriman cepat amp rapi,positive
respon penjual baik dan baranhnya cocok puas saya belanja disini tks,positive
produk sesuai deskripsi packing aman dan rapi,positive
matap pas banget,positive
keren,positive
saya asli orang korea ini terlalu pahit karena sudah dekat expire,negative
produk tidak mudah luntur produk original,positive
barang oke packing oke respon cepat mantap,positive
barang bagus pengantaran cepat 🤝,positive
selalu puas beli di sini seller amanah kualitas seafood bagus packing rapi pengiriman cepat dan sering dapat bonus kepala salmon terima kasih kak 🙏,positive
terima kasih,positive
ty gan ty juga bonusnya,positive
sesuai pesanan terimakasih,positive
warnanya cocok empuk matras juga tebal,positive
barang sesuai deskripsi exp masih lama penjual fast respon barang cepat banget sampai,positive
barang sudah diterima dengan baik kualitas ok packing bagus material bagus,positive
cepat sampai dan sesuai pesanan,positive
aroma wanginya segar banget,positive
mantap pelayanannya terima kasih,positive
kiriman cepat packing rapi qualitas bagus,positive
bagus pas bb tinggi,positive
bagus,positive
sesuai dengan gambar dan deskripsi respon packaging dan pengiriman mantap barang diterima dalam keadaan baik recommended seller,positive
barang sampai lengkap dan aman 🙂👍,positive
respon seller sangat cepat👍 dan barangnya juga cepat diproses mantap terimakasih,positive
produk mantap,positive
puas belanja disini pengiriman bebas ongkir tapi cepat banget hari sudah sampai packing rapi pakai bubble wrap amp kotak jadi aman enggak bakal bocor bumbu sushinya thx seller,positive
okeh ada bautnya yang kurang satu tapi gpplah,positive
bahan sesuai dengan yang dipesan karet tebal,positive
packing sangat baik dikardusin dan bubble warp tak lupa tutup botolnya diberi isolasi agar tidak rembes terima kasih,positive
memang tidak seperti beef mengira bisa slice nya,positive
bentuk dan ukuran bentuk orisinal dan ukuran pas banget aroma wangi warna oke sesuai di pic,positive
kurang nyamann baru pakai puteran lecet,positive
kemasan bagus dan kuat bisa lebih cepat sampai kalau pick up hari ke berhasil dilakukan hari je di pick up sudah tutup jadi harus njnggu sehari lagi,positive
pengiriman tidak seperti biasanya cukup lama dan kurir kurang berhati hati dalam pengiriman tapi produk aman karena ada plastik pembungkusnya,positive
pelayanan oke banget semoga tambah maju terima kasih,positive
sudah langganan produknya dan tokonya rasanya enak manisnya pas seller gercep packing sangat baik tengkyu seller kurir dan toped,positive
barang bagus masih tersegel rapi sesuai gambar terimakasih,positive
josss orisinal dan cepat plus bantu setting juga semoga awet dan normal semua dapat headset kartu garansi antena unit hati plus batere and cas an duduk fast respon juga penjualnya pembelian perdana dan akan langganan agaknya thx seller dan tokped,positive
kualitas bagus respon penjual cepat recommended,positive
sesuai deskripsi dan pesanan terima kasih,positive
bentuk dan ukuran sesuai dengan pesanan aroma bau baunya menyengat daya tahan pakai belum tau baru kali ini beli sepatu baunya menyengat,positive
produk datang masih fresh pengiriman juga aman menggunakan bubble wrap tebal pertama kali belanja disini overall good,positive
saya suka banget legit manis kualitas benaran premium,positive
barang sesuai pesanan tokonya amanah pengiriman dan respon seller cepat packing aman terima kasih ya,positive
proses dan penyerahan barang ke kurir oleh penjual ok kualitas barang dan harga juga bagus tapi pengiriman oleh kurir anteraja yang parah saya pakai sameday tapi baru sampai hari dan sudah beberapa kali sameday nya anteraja selalu tidak tepat waktu jadi kalau mau sameday jangan pernah pakai anteraja,neutral
bagus,positive
kualitas produk beberapa kali jatuh saat dibawa anak anak tapi tetap bekerja normal semoga awet sepertinya anti air asal tidak basah kuyub,positive
proses cepat,positive
barang sudah sampai pengiriman cepat,positive
kualitas produk sangat baik paket di terima dalam kondisi aman sesuai dengan pesanan packing nya rapi double bubble wrap terima kasih 🙏,positive
mantaappp gan,positive
barang oke angin lebih fokus pengiriman tepat waktu 👍👍,positive
proses pengiriman cepat banget kaki babinya frozen dan bagus punya,positive
sesuai deskripsi mantap,positive
barang sesuai dengan deskripsi pelayanannya bagus pengirimannya oke wanginya enak segar dan harga yang terjangkau untuk ukuran ml,positive
packing barang tidak baik jadi matras tertekuk tekuk dan hanya dilipat bukqn digulung jadi tidak nyaman saat digunakan dan tidak bisa digulung rapi,neutral
mantap,positive
fast respond fast delivered thanks alot good job,positive
maskernya bagus nyaman dipakai recommended,positive
proses pengiriman cepat recommended thks 😊🙏,positive
sesuai deskripsi produk berfungsi dengan baik thx bosquee,positive
case sesuai ekspektasi bahan solid dan pas digunakan terima kasih,positive
sesuai pesanan pengiriman cepat kualitas segar,positive
barang sesuai ekspektasi minimalis dan tipis tapi raised bezel semoga awet dan aman cepat sampai walaupun pakai pengiriman reguler,positive
sesuai,positive
mmaanntttaaaappppp,positive
wah best banget pengalaman belanja di sini pengiriman cepat sashiminya segar bisa request dipotongin juga selain itu seller komunikatif sebelum kirim difoto dulu timbangannya padahal enggak diminta bagian kulit ikut dikirimin bahkan dikasih bonus kepala salmon keren banget ferry fish,positive
kerupuk super aman tidak,positive
barang sesuai pesanan fast delivery seller ramah dan responsif,positive
packing aman ada bubble wrap nya sampai dengan selamat sesuai gambar berfungsi dengan baik,positive
sudah order yang ke sekian kali kualitas bagus jangan ragu kalau mau order disini,positive
nice,positive
produk orisinal dan keten banget pengiriman barang cepat rapi dan aman,positive
repeat order yang kesekian kali 😊😊 masker kualitas bagus nyaman dipakai delivery ok sayang harganya masih mahal ikutan kejar diskon spesial ya 👍👍,positive
diterima baik sesuai pesanan produk tidak bocor baru mau coba menggunakan produk harpic ini untuk membersihkan toilet semoga hasilnya bagus,positive
sebagai pecinta roti coklat keju justru aku kurang cocok sama roti eneng varian cokju ini dan untuk roti nya lembut tapi kurang kenyal kurang cocok di isi dengan potongan keju cocoknya mungkin keju nya diparut dan coklatnya juga tnyata seperti coklat pasta aku sih kurang cocok tapi sok far saja pengiriman sesuai terima kasih,positive
pengiriman lumayan cepat packing kirim lumayan terjaga dan tiba di tujuan dengan baik dan aman semoga bisa dikonsumsi dengan baik dan cocok buat otot,positive
kualitas bagus pelayanan cepattttt mantappppppppppppppppppppppppppppppppppppppppppppppp,positive
overall ok tebal amp nyaman digunakan tapi ada bocel sedikit 🙏🏼,positive
paket sudah sampai dengan baik,positive
sesuai pesanan 👍,positive
respon seller baik dan cepat produk segar sesuai ekspektasi,positive
bisa digunakan iphone se dari jepang butuh regis imei tuntas jam kemudian isi nik kakak setelahnya bisa dipakai,positive
sellerna aslina ramah pisan,positive
respon pembeli dan pengiriman sangat cepat kualitas barang ok,positive
pisau nya tipis,neutral
super enak manisnya pas,positive
pelayanan tokped top expired date masih lama pengemasan aman barang diterima enggak sampai jam rasa top enak thanks seller tokped dan abang kurir,positive
sudah tak terhitung ordernya kwalitas produk mie sedap ok rasa makyus nikmat sip terima kasih seller abang kurir toped,positive
proses pesanan cepat desain elegan 😍,positive
barang diterima dengan kondisi baik 😊👍,positive
pengiriman oke dan untuk scooternya ternyata enggak bisa di belokan dari stang kalau untuk kualitas ya sesuai dengan harga yang buat kecewa ya ternyata tidak bisa di belokin stang nya,negative
produk asli dan sesuai diskripsi yang akan akan ngulang beli kembali top markotop,positive
mantap mantappppp,positive
beli pack barang bocor respon penjual buruk packing buruk kurir buruk di chat enggak ada solusinya jawab nya mesin semua,negative
kualitas dan rasa sudah tidak diragukan lagi,positive
pengiriman cepat produk sesuai seller komunikatif terima kasih seller,positive
thanks gan mantap sudah lama pakai vrs design tidak pernah mengecewakan case ini 🙏🏻👍🏻,positive
awalnya ragu mau beli karena anakku tipe yang enggak suka makan pakai kuah tapi penasaran juga anakku bakal mau seperti anak lain enggak pertama kali dicobain auto kaget karena anaknya doyan banget dan meminta terus dari yang coba eh sekarang ketagihan beli dari mamak yang biasanya nge war sepatu sekarang beralih jadi nge war broth buat anak anakku bb nya susah banget naik tapi semenjak pakai hungry alana kemarin baru jar sudah naik gr anak happy mamakpun happy🤣,positive
sesuai diskripsi,positive
sesuai dengan yang di pesan next bakalan pesan lagi,positive
barang orisinal dan berfungsi dengan baik terimakasih penjual fast respon,positive
barang sesuai pesanan pengiriman cepat hit magic ampuh usir nyamuk wangi dan bikin sesak,positive
ramah adminnye,positive
mantap skechers versi ramah kantong enak dipakai,positive
barang sudah saya terima lengkap kondisi sesuai pesanan sudah tidak sabar pengin mencoba,positive
kualitas bagus fitting pas nyaman namun size sprtnya lebih besar dari size chart,positive
pengiriman lama,positive
barang nya sudah datang dan sesuai gambar harga murah tapi kwalitas lumayan semoga awet untuk owner nya semoga makin lancar usahanya tetap amanah ya🤗,positive
bentuk dan ukuran lebar cocok tapi kepanjangan aroma baik,positive
sudah pernah beli sebelumnya tapi lewat toko offline dibanding merk lain produk fresh murni dan sangat recomended thnks,positive
